Sample Split
Pipeline 0: F4: 0.8841	 precision: 0.70	 recall: 0.90
Pipeline 1: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 2: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 3: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 4: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 5: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 6: F4: 0.9061	 precision: 0.67	 recall: 0.93
Pipeline 7: F4: 0.9061	 precision: 0.67	 recall: 0.93
Votes    8: F4: 0.9061	 precision: 0.67	 recall: 0.93
Sample Split
Pipeline 0: F4: 0.8891	 precision: 0.69	 recall: 0.90
Pipeline 1: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 2: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 3: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 4: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 5: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 6: F4: 0.9249	 precision: 0.65	 recall: 0.95
Pipeline 7: F4: 0.9249	 precision: 0.65	 recall: 0.95
Votes    8: F4: 0.9249	 precision: 0.65	 recall: 0.95
Sample Split
Pipeline 0: F4: 0.8365	 precision: 0.65	 recall: 0.85
Pipeline 1: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 2: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 3: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 4: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 5: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 6: F4: 0.8982	 precision: 0.62	 recall: 0.92
Pipeline 7: F4: 0.8982	 precision: 0.62	 recall: 0.92
Votes    8: F4: 0.8982	 precision: 0.62	 recall: 0.92
Sample Split
Pipeline 0: F4: 0.8921	 precision: 0.69	 recall: 0.91
Pipeline 1: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 2: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 3: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 4: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 5: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 6: F4: 0.9006	 precision: 0.62	 recall: 0.93
Pipeline 7: F4: 0.9006	 precision: 0.62	 recall: 0.93
Votes    8: F4: 0.9006	 precision: 0.62	 recall: 0.93
Sample Split
Pipeline 0: F4: 0.8502	 precision: 0.71	 recall: 0.86
Pipeline 1: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 2: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 3: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 4: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 5: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 6: F4: 0.8603	 precision: 0.64	 recall: 0.88
Pipeline 7: F4: 0.8603	 precision: 0.64	 recall: 0.88
Votes    8: F4: 0.8603	 precision: 0.64	 recall: 0.88
Sample Split
Pipeline 0: F4: 0.8403	 precision: 0.74	 recall: 0.85
Pipeline 1: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 2: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 3: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 4: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 5: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 6: F4: 0.8880	 precision: 0.67	 recall: 0.91
Pipeline 7: F4: 0.8880	 precision: 0.67	 recall: 0.91
Votes    8: F4: 0.8880	 precision: 0.67	 recall: 0.91
Sample Split
Pipeline 0: F4: 0.8458	 precision: 0.71	 recall: 0.86
Pipeline 1: F4: 0.8762	 precision: 0.66	 recall: 0.89
Pipeline 2: F4: 0.8762	 precision: 0.66	 recall: 0.89
Pipeline 3: F4: 0.8762	 precision: 0.66	 recall: 0.89
