AE ID	Eval	Old Pred	New Pred	Confidence	Abs value	Exp typeExp factors
E-GEOD-61049	no	yes	none	none	none	transcription profiling by array	
E-GEOD-74724	no	yes	no	-0.009	0.009	RNA-Seq	disease stage | genotype | sex
E-GEOD-11978	no	yes	no	-0.015	0.015	transcription profiling by array	None
E-MTAB-1332	no	yes	none	none	none	transcription profiling by array	
E-GEOD-20561	yes	yes	yes	0.069	0.069	transcription profiling by array	GENDER | AGE | MOUSE IDS
E-GEOD-20560	no	yes	yes	0.035	0.035	transcription profiling by array	GENOTYPE/VARIATION | MOUSE IDS
E-GEOD-39362	no	yes	none	none	none	transcription profiling by array	
E-MEXP-194	yes	yes	yes	0.003	0.003	transcription profiling by array	Disease state | Mouse strain
E-GEOD-17511	no	yes	yes	0.000	0.000	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-37471	yes	yes	yes	0.032	0.032	transcription profiling by array	days post coitum | genotype
E-GEOD-76660	yes	yes	yes	0.041	0.041	transcription profiling by array	genotype | organism part
E-GEOD-49351	no	yes	yes	0.030	0.030	transcription profiling by array	PHENOTYPE
E-MTAB-5730	no	yes	none	none	none	RNA-Seq	
E-GEOD-23495	no	yes	yes	0.022	0.022	transcription profiling by array	None
E-GEOD-60659	yes	yes	yes	0.062	0.062	RNA-Seq	GENOTYPE | ORGANISM PART
E-GEOD-23497	no	yes	no	-0.008	0.008	transcription profiling by array	INTERNVENTION | STRAIN | GENOTYPE
E-GEOD-36481	no	yes	no	-0.003	0.003	transcription profiling by array	TREATMENT
E-GEOD-57741	no	yes	no	-0.036	0.036	transcription profiling by array	GENOTYPE
E-GEOD-60654	no	yes	no	-0.020	0.020	transcription profiling by array	GENOTYPE
E-GEOD-14336	no	yes	yes	0.017	0.017	transcription profiling by array	AGE
E-GEOD-57189	no	yes	no	-0.020	0.020	transcription profiling by array	cell line | phenotype
E-GEOD-13421	yes	yes	yes	0.065	0.065	transcription profiling by array	None
E-GEOD-47967	no	yes	yes	0.036	0.036	transcription profiling by array	COMPLEX TYPE | TREATMENT
E-GEOD-64556	yes	yes	yes	0.062	0.062	transcription profiling by array	genotype
