ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-MEXP-1636	None	transcription profiling by array	Yes	Differential	Done	anatomical structure|genotype
E-GEOD-4307	GSE4307	transcription profiling by array	Yes	Baseline	Done	single cell variation
E-GEOD-484	GSE484	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-1437	GSE1437	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MEXP-288	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MEXP-287	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MEXP-286	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MEXP-297	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-18616	GSE18616	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-25190	GSE25190	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-17664	GSE17664	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-1436	GSE1436	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-24330	GSE24330	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-22509	GSE22509	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-18330	GSE18330	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-5930	GSE5930	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-10640	GSE10640	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-18295	GSE18295	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-13609	GSE13609	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-21380	GSE21380	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-7791	GSE7791	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-19753	GSE19753	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-19142	GSE19142	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-10011	GSE10011	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-17925	GSE17925	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MTAB-28	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-MTAB-26	None	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-12067	GSE12067	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-15907	GSE15907	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-15603	GSE15603	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-13229	GSE13229	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-15053	GSE15053	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-14363	GSE14363	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-7800	GSE7800	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-8516	GSE8516	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-8949	GSE8949	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-8357	GSE8357	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-8294	GSE8294	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-7770	GSE7770	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-7767	GSE7767	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-6482	GSE6482	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-1584	GSE1584	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-8566	GSE8566	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
E-GEOD-52598	GSE52598	transcription profiling by array	No	Not Curated	Not Applicable	Not Curated
