ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-GEOD-1611	GSE1611	transcription profiling by array	Yes	Differential	Done	age|developmental stage|genotype
E-MEXP-219	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-153	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-102	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-35	None	transcription profiling by array	Yes	Differential	Done	age|developmental stage|genotype
E-MEXP-51	None	transcription profiling by array	Yes	Baseline	Done	anatomical structure|developmental stage
E-MEXP-73	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-47	None	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-829	GSE829	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-642	GSE642	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3644	GSE3644	transcription profiling by array	Yes	Differential	Done	genotype
E-MEXP-1385	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-128	GSE128	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3843	GSE3843	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-482	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4239	GSE4239	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4193	GSE4193	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3962	GSE3962	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2952	GSE2952	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2172	GSE2172	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3252	GSE3252	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3129	GSE3129	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4953	GSE4953	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-5425	GSE5425	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-5078	GSE5078	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4612	GSE4612	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-6998	GSE6998	transcription profiling by array	Yes	Baseline	Done	developmental stage
E-GEOD-6383	GSE6383	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-5429	GSE5429	transcription profiling by array	Yes	Baseline	Done	mouse strain
E-GEOD-454	GSE454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4120	GSE4120	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-414	GSE414	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1947	GSE1947	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1912	GSE1912	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1867	GSE1867	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1623	GSE1623	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1288	None	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-108	GSE108	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1050	GSE1050	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-7574	GSE7574	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-3249	GSE3249	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2498	GSE2498	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1159	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2899	GSE2899	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2772	GSE2772	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
